duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,other
332,icmp,domain,S2,437323,655,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,279,9,1.081062491617028,0.13473558814565442,1.1827867320787742,0.8141540643153822,1.016133349859849,0.10048650753887658,0.8226949594243791,107,262,1.096025400674618,1.1695026820134702,0.8073060455219343,0.08466150783669263,0.6542384638908697,0.892269980149088,1.1065064476032107,1.0508669680645404,pod,15
1129,tcp,rje,SF,13489,27154,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,298,569,0.31096521673064753,0.004469665607980682,1.0581760348536264,1.1969989756249002,0.5232563440252531,0.4251159538725539,0.10265577628908576,35,296,0.1464840199596568,0.03561800328137686,0.08737544076560014,0.0024960570765399466,0.08404503139352387,0.21236641743494933,1.059933308329764,0.15124277927721708,sendmail,18
462,tcp,printer,S2,114003,305,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,337,497,0.311193508736215,0.009906761657955197,1.0465599519745186,1.2457378587107995,0.28720191038328297,0.10048650753887658,0.14945098591030453,232,302,1.1378084279331573,0.19192543470287363,0.7753099085331538,0.4215097946708444,1.1558817065596863,0.892269980149088,1.0678980296036813,1.0233013328057126,xlock,15
1291,udp,remote_job,S0,13176,1038,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,338,606,1.3031195653465435,0.007959688152590492,1.0581760348536264,1.038443326346568,1.016133349859849,0.3919953517109708,1.1856763802663015,259,259,0.4602146760595578,0.24816569826856338,0.6063433199479856,0.03553965986455969,0.004975133742973375,0.12967302112713194,0.29818646097632495,1.2101495425644035,snmpgetattack,16
410,tcp,IRC,OTH,429540,1038,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,552,176,0.14183938919922173,1.3830998576666205,1.0971526936572864,0.0056420035682537,0.5940436415975969,0.09798034977657878,1.0860919769208945,42,172,0.7467453696575153,0.104656783356847,0.012573397875682952,0.4081085283215643,1.0009537603803218,0.2637641596247102,0.28372123358830703,0.01680740401626846,ipsweep,13
8401,udp,ctf,S2,144371,3750,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,571,68,0.3287501157656866,0.4875081859109772,1.124805609887166,0.015258720188812776,1.016133349859849,0.10048650753887658,1.0527882721738235,156,287,0.14998431200648826,0.6256654854185254,0.22325422738773684,0.25187778509450204,0.05251850449809947,0.28281564759945893,0.29593102920593123,1.0299965267106708,udpstorm,16
8118,tcp,netbios_ssn,OTH,379972,4853,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1,374,646,0.2418143942780008,0.006765374254904378,1.152181428024862,0.015258720188812776,0.5811626488753966,0.09509454980897328,1.1835866042061198,30,265,1.1378084279331573,0.7536292519041556,0.6984024690696536,0.3137694299383518,0.04523513006570114,1.1650869486631394,1.0906704162990326,0.39874571996459884,pod,16
1245,udp,ecr_i,S3,440100,679,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,8,559,0.30215235487630643,1.0785137272205516,1.093109166579172,1.0529783568338547,0.5940436415975969,0.39745071947823546,0.30240184921457025,301,197,1.0486899566344332,1.0438932638140321,0.02138782828886193,0.07466163554866842,0.49170722283048157,0.7083572938449865,0.30811576212824315,0.6375352274890522,imap,15
1068,tcp,pm_dump,RSTR,114880,17676,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,89,39,0.12304186799007369,0.1218584458476058,1.1827867320787742,0.8050821069232885,1.0109145121273813,0.10048650753887658,1.055570125374609,286,268,1.0612021076513707,0.005247985335519521,0.0701371467099404,0.3958456164865392,0.008586345561016562,0.8154450391520927,0.8647403889285511,0.01680740401626846,udpstorm,11
9625,tcp,finger,S3,379430,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,131,1.2337370570143071,1.419679533943187,0.8954628805356891,0.8296741092963211,0.25186739233598554,0.07198870774969851,0.6966497693072995,260,260,1.1144949100133914,1.0506212621242168,0.6063433199479856,0.09669394585406146,0.2395006740682281,1.0902335959919027,1.0619561716128796,0.0156458099472049,perl,15
